月胸森莺,Crescent-chested Warbler,Oreothlypis superciliosa,颇具吸引力的森莺（11-12厘米）;;注意其醒目的白色眉纹、无白色的翼斑，以及大片的黄色喉部斑块;;⚑胸部有大小不一的深红褐色月牙斑，部分幼鸟（上图）的月牙斑可能不明显;;生活在高地和山麓的橡树林及松橡树林中，通常在叶簇间觅食，常见于树冠的中上层，尤其是在橡树上；常与其他森莺、莺雀、山雀和拟鹂等组成的混群一起活动;;鸣唱似蝉鸣的嗡嗡声;
橙冠虫森莺,Orange-crowned Warbler,Leiothlypis celata,中小型（11-14厘米）不起眼的森莺;;⚑深色过眼纹将白色眼圈从中间隔开，具微弱的眉纹，不似灰冠虫森莺明显;;⚑同名的橙色冠很难看到，通常很淡;;⚑亮黄色的尾下覆羽可将其区分于灰冠虫森莺;;⚑北美西部种群（上图）颜色更加鲜艳，东部种群（下图）通常具有更鲜明的灰色头部;;在灌丛、林缘中觅食昆虫;
黄腰虫森莺,Colima Warbler,Leiothlypis crissalis,墨西哥高地上活跃的森莺（12-13厘米）;;颜色较为暗淡；整体呈阴沉的灰棕色，头部更显灰色，有着明显的白色眼圈、淡黄色的侧羽及芥末黄色的尾下覆羽;;不混群觅食，在山地的橡树林和灌丛中繁殖，冬季则栖息在松橡林的杂草丛生的花坛和纠缠的灌木中;;通常在灌丛和小树的顶部歌唱，但整体较为隐蔽，通常保持低位，难以被发现;,北美特有
赤腰虫森莺,Lucy's Warbler,Leiothlypis luciae,牧豆树林和灌丛中的小型（9-12厘米）森莺;;整体呈素淡的灰色，腹部更白，有模糊的白色眼圈和红褐色的腰部;;⚑头顶的红褐色斑块通常难以看清;;⚑最似黄胸虫森莺，但完全不带黄色;;生性活跃，常在灌丛区域不停穿梭；主要在美国西南部繁殖；夏季早期便离开繁殖地，迁徙至墨西哥太平洋沿岸越;;其悦耳的鸣唱似黄腰林莺，但结尾通常包含更尖锐的音符;,北美特有
灰冠虫森莺,Tennessee Warbler,Leiothlypis peregrina,小型（10-13厘米）黄绿色森莺;;繁殖期雄鸟背部呈灰绿色，头部呈淡蓝灰色，下体呈灰白色;;⚑雌鸟和幼鸟总体呈现出更多的黄色，但仍然偏暗;;⚑所有羽色都有细过眼纹、淡色眉纹和白色的尾下覆羽;;⚑极似橙冠虫森莺，注意白色（而非黄色）的尾下覆羽，明显的眉纹和更偏纯色、无条纹的胸部;;繁殖于北部森林，迁徙期常在开花树木的周围;;叫声响亮，通常是三部分的逐渐加速的啁啾声;
黄喉虫森莺,Nashville Warbler,Leiothlypis ruficapilla,小型（12厘米）森莺;;头灰色、具白色眼圈、下体及喉黄色，上体橄榄色;;⚑幼鸟（右图）似黄胸虫森莺，但翅为绿色;;⚑似体型更大的黑胸地莺和灰喉地莺，注意明显更小的体型、更短的尾和更尖的喙;;繁殖于针叶或混合林中，通常在空地、次生林或沼泽附近；在迁徙和冬季，倾向于出现在斑驳的林地或矮树丛中，包括田野的边缘和草丛;;鸣唱为两部分的响亮的啁啾声;
黄胸虫森莺,Virginia's Warbler,Leiothlypis virginiae,大部分呈灰色的林莺（10-11厘米）;;尾下覆羽黄色，有细窄的白色眼圈;;⚑除了最暗淡的幼鸟外，其他个体胸部都有黄色块斑;;⚑似黄喉虫森莺，但总是呈更暗淡的灰色，尤其是背和翅;;在有茂密林下植被的开阔林地繁殖，尤其是陡坡上的松树、桧树混交林和橡树林；在墨西哥西部越冬，喜浓密灌丛和多灌丛的生境;;留意其悦耳的两部分或三部分鸣唱声;,北美特有
灰喉地莺,Connecticut Warbler,Oporornis agilis,中型（13-15厘米）笨拙的森莺;;下体柠檬黄色，上体橄榄棕色，带有灰色的头顶和完整的白色眼圈;;⚑幼鸟和雌鸟头部褐色，而非灰色，下体通常为暗黄色;;⚑似黑胸地莺和黄喉地莺幼鸟，但白色眼圈更加完整，体型较大，且具走路而非跳跃的习性;;繁殖于有云杉或落叶松的沼泽森林中，迁徙中常在密集的灌丛中，沿树枝或在地面行走;
淡脚森莺,Semper's Warbler,Leucopeza semperi,圣卢西亚特有的中型（14-14.5厘米）森莺;;成鸟上体深灰色，下体灰白色;;⚑幼鸟上体褐灰色，下体长有绒毛;;⚑具淡眉纹和黄色的脚;;⚑最后一次目击于1961年;;生活在山区及矮林中，可能在地上筑巢，但详情不明;,圣卢西亚特有
黑颊黄喉地莺,Masked Yellowthroat,Geothlypis aequinoctialis,隐匿于草地生境（如植被繁茂的田野和沼泽）的森莺（13-14厘米）;;⚑雄鸟有引人注目的黑色“强盗式”眼罩，其灰色顶冠有助于将其与分布范围内的其他黄喉地莺区分;;⚑雌鸟平淡且易混淆；其腹部比黄喉地莺的雌鸟更黄，且上体往往比绿冠黄喉地莺的雌鸟颜色更深；也似美洲黄林莺雌鸟，但喙更厚且背部颜色更深;;鸣唱是一系列相当多变的悦耳哨音；也会发出短促、下行的颤音，成对的个体通常隐匿于茂密植被中；雄鸟偶尔会现身，在更开阔的栖枝上鸣唱或鸣叫;
黑眼先黄喉地莺,Black-lored Yellowthroat,Geothlypis auricularis,行踪隐匿的森莺（12-14厘米）;;雄鸟黄色，具醒目的黑色眼罩;;雌鸟平淡无奇;;⚑似绿冠黄喉地莺，但雄鸟顶冠为灰色且眼罩较窄，雌鸟上体通常颜色略深;;⚑雌鸟也似美洲黄林莺雌鸟，但喙更厚且背部颜色更深;;见于干燥和半湿润的灌丛、植被繁茂的林中空地以及森林边缘的纠结植被处;;安第斯山脉以西，其典型鸣唱是一连串悦耳的音符，接近尾声时速度加快；在马拉尼翁河谷，会发出更为复杂的有起有伏的歌声；也会发出轻柔的颤音和嗡嗡叫声;
贝氏黄喉地莺,Belding's Yellowthroat,Geothlypis beldingi,中型（14厘米）羽色鲜亮的黄喉地莺;;⚑似黄喉地莺，但体型稍大且颜色更鲜亮；雄鸟黑色眼罩有淡黄色边缘，下体黄色区域更广；雌鸟脸部和下体黄色更鲜亮且范围更广，但可能较难与黄喉地莺雌鸟区分;;偏好湖泊与池塘周边的芦苇丛及相邻的沼泽植被;;鸣唱有细微的独特之处;,墨西哥特有
墨西哥黄喉地莺,Altamira Yellowthroat,Geothlypis flavovelata,羽色鲜亮的黄喉地莺（13厘米）;;⚑似黄喉地莺，但整体黄色更鲜亮，雄鸟黑色眼罩有淡黄色边缘，下体黄色区域更广；雌鸟脸部和下体黄色更鲜亮且范围更广，但可能较难与黄喉地莺雌鸟区分;;偏好湖泊与池塘周边的芦苇丛及相邻的沼泽植被，局部地区也见于甘蔗田;,墨西哥特有
黄腹地莺,Kentucky Warbler,Geothlypis formosa,落叶林中的小型（13厘米）森莺;;⚑唯一一种具黄色眼先的黄绿色森莺;;下体亮黄色，背橄榄色;;⚑所有的羽色都有一致的面部图案；成年雄鸟具黑色额，雌鸟和幼鸟的额头为淡暗灰色或橄榄色;;常见于沼泽地区或缓慢流动的溪流附近；鸣唱时会停歇在高处，其他时间则靠近地面;;鸣唱为一系列4-8个响亮、滚动的音符：“preet、preet、preet、preet”;
纳氏黄喉地莺,Hooded Yellowthroat,Geothlypis nelsoni,墨西哥高地特有的黄喉地莺（13厘米）;;上体和胁部为相对较深的绿橄榄色;;雄鸟黑色眼罩上方有灰色边缘;;⚑雌鸟有类似雄鸟的模糊图案，前额有些许灰色，但可能难以与黄喉地莺雌鸟区分;;⚑与大多数黄喉地莺不同，不出现于沼泽地带，而见于灌丛和浓密的查帕拉尔群落;;通常相当隐匿，但有时也会在显眼的栖枝上鸣唱;,墨西哥特有
黑胸地莺,Mourning Warbler,Geothlypis philadelphia,健壮（10-15厘米）的森莺;;下体黄色，头部蓝灰色，背部橄榄色;;⚑成年雄鸟胸前具黑色斑块；成年雌鸟头和胸呈浅灰色；未成年雌鸟（右图）为橄榄色，喉呈黄色;;⚑最似灰头地莺，但范围重叠很小，且尾稍短，缺少明显的白色眼圈;;⚑似美洲黄林莺，但体型更大，喙偏粉红且更大，下体的黄色更浓;;繁殖于灌丛空地；通常喜覆盆子灌丛；常隐藏在低矮的植被中，因此难以发现;;鸣唱为：“churry churry churry chew”;
灰冠黄喉地莺,Grey-crowned Yellowthroat,Geothlypis poliocephala,稀树草原中隐蔽的橄榄黄色森莺（14厘米）;;⚑雄鸟具独特的灰色头和黑色眼先;;⚑与黄喉地莺不同，不喜湿地沼泽;;在灌丛和栅栏上鸣唱时，常竖起尾巴，有时也会竖起浓密的羽冠;
巴哈马黄喉地莺,Bahama Yellowthroat,Geothlypis rostrata,体型较大（15厘米）行动迟缓的森莺;;⚑似黄喉地莺，但体型更大更壮实，喙相对更厚重，且雄鸟下体全为黄色，黑色眼罩不像后者那样向喙部变窄；雌鸟下体黄色区域更广，但下腹常带一些灰色;;⚑安德罗斯岛和新普罗维登斯岛的亚种（下图），其顶冠为灰色，也与黄喉地莺不同;;栖息于从沼泽到长有茂密茅草棕榈下层植被的松树林等茂密植被中;;鸣唱和鸣叫似黄喉地莺，但“tchuck”音没有颤音;,巴哈马特有
绿冠黄喉地莺,Olive-crowned Yellowthroat,Geothlypis semiflava,小而厚实（11-13.5厘米）的森莺;;⚑雄鸟似黄喉地莺和黑颊黄喉地莺，但注意黑色脸颊上方缺少白色带状边缘;;⚑雌鸟似其他黄喉地莺，但下体全黄，脸橄榄色;;鸣唱多变，但总是包括甜美的重复音符，有时会以一个复杂的颤音结束;
黑顶黄喉地莺,Black-polled Yellowthroat,Geothlypis speciosa,墨西哥中部高地沼泽地区的森莺（12.5-13厘米）;;⚑雄鸟特征明显，黑色眼罩融入深绿色上体，与同分布的黄喉地莺相比，其眼罩无浅色边缘，且下体大部分为黄色、腿部为深色;;⚑雌鸟整体比黄喉地莺雌鸟颜色更深，腿部深色（而非粉色）;;偏好湖泊边缘大片的芦苇丛以及近水的相邻灌木丛;;鸣唱有细微的独特之处;,墨西哥特有
灰头地莺,MacGillivray's Warbler,Geothlypis tolmiei,喜茂密灌丛的矮胖（13厘米）森莺;;下体黄色，上体橄榄色，头胸部蓝灰色;;⚑黑色的眼先使得眼睛上下方形成独特的白色弧线;;⚑成年雄鸟头部最黑；雌鸟和幼鸟有较浅的灰色头部和白色的喉;;⚑似黑胸地莺，但重叠范围很小，且前者具较长的尾和白色的眼弧;;见于灌丛、空地、开阔的混交林和河岸;
黄喉地莺,Common Yellowthroat,Geothlypis trichas,中小型（11-13厘米）森莺;;整体呈暗橄榄色，喉部呈深黄色;;成年雄鸟具黑色眼罩，且眼罩上方具白色带状边缘;;⚑雌鸟较朴素，但总有对比鲜明的黄色喉部和尾下覆羽;;翅短而圆，因此仅适合短距离迁徙;;见于潮湿灌木区，包括沼泽、林缘和田野；常隐藏在茂密的植被中，但雄鸟会在显眼处鸣唱;;鸣唱为“witchity-witchity-witchity”，鸣叫低沉刺耳;
南黄喉地莺,Southern Yellowthroat,Geothlypis velata,行踪隐秘的森莺（13-14厘米）;;雄鸟特征十分鲜明，有黑色的“强盗式”眼罩和灰色的头顶;;⚑雌鸟可能较难辨认，但其黄色喉部通常与橄榄色的上体和体侧形成鲜明对比;;通常见于沼泽、潮湿草地以及沼泽林缘；成对活动时通常隐藏得很好，但雄鸟有时会在无遮蔽的栖木上鸣唱;;鸣唱是一连串丰富多变、有起有伏的哨音，鸣叫则包括一连串下降的“chip”声以及短促的粗粝声;
啸森莺,Whistling Warbler,Catharopeza bishopi,中型（14.5厘米）森莺;;羽色醒目，呈石板色与白色相间，有醒目的白色眼圈;;⚑注意其独特的图案：黑色的颏、白色的上胸以及略带黑色的下胸；在其分布范围内没有相似物种;;⚑常常将尾向上翘起;;栖息于林地中的纠结植被和茂密的林下灌丛;;鸣唱是一连串响亮的哨音，节奏通常在结尾处放慢，同时音调变得更高；有时也会快速连续发出，形成更为杂乱的模式;,圣文森特和格林纳丁斯特有
黄腹灰林莺,Adelaide's Warbler,Setophaga adelaidae,小型（12.5厘米）羽色鲜亮的森莺;;⚑略似北森莺，但后者背部呈黄绿色，且下体黄色不会像前者那样延伸至腹部;;栖息于林地和灌丛的灌木丛中，觅食积极，从树叶和小树枝上抓取昆虫;;鸣唱是一连串快速发出的悦耳音符，并逐渐加快速度，有时临近结尾又再次放慢；鸣叫是略带尖细的悦耳“chick”声;,波多黎各特有
美洲黄林莺,American Yellow Warbler,Setophaga aestiva,小型（12-13厘米）森莺;;通常整体为黄色，但一些未成年个体几乎完全灰色;;⚑大多数雄鸟下体具红褐色条纹，雌鸟的黄色更平淡;;⚑在飞行中，注意其尾部的黄色边缘;;喜近水的灌木状生境，常在距离地面相当低的灌丛中觅食;
北森莺,Northern Parula,Setophaga americana,小型（10.8-12.4厘米）的短尾莺;;喙尖，上下双色;;上体蓝灰色，背部有苔绿色斑块，具黄色的喉胸;;⚑白色的眼圈被粗黑色的过眼纹隔开，形成上下两瓣眼弧;;⚑成年雄鸟具黑色和红褐色的胸带，年轻雌鸟（上图）的胸前为纯黄色;;⚑似绿背森莺，但后者总是有纯净的橙黄色胸，且缺少白色眼弧;;繁殖于成熟的针叶林或落叶林，尤其是近水的地方；用苔藓筑巢；迁移季可见于任何树木繁茂的生境;;鸣唱为响亮的、上升的蜂鸣颤音，结尾部分尖锐；听起来像拉拉链;
小林莺,Elfin Woods Warbler,Setophaga angelae,中型（12.5厘米）森莺;;⚑似黑白森莺，但背部没有白色条纹，且无白色眉纹;;⚑似白颊林莺，但后者脸颊是白色而非黑色;;栖息于潮湿的山地矮林，在茂密的树冠枝叶间活跃觅食;;鸣唱是一种细弱的颤音，前半部分音调较高，后半部分音调较低；鸣叫为高亢、细弱的“Peet”声;,波多黎各特有
黑喉蓝林莺,Black-throated Blue Warbler,Setophaga caerulescens,引人注目的森莺（13厘米）;;雄鸟为独特的深蓝色，具黑色的脸和两胁以及白色的腹部;;雌鸟为棕橄榄色，下体暗黄褐色;;⚑注意翅上的小块白斑（仅未成年雌鸟可能没有）;;繁殖于混交林的林下，喜植被茂密的丘陵；迁徙过程几乎见于任何密林或灌丛生境;;鸣唱为慵懒的嗞嗞声，通常是一系列音符最后以长嗞嗞声结束;
栗胸林莺,Bay-breasted Warbler,Setophaga castanea,中型（14厘米）森莺;;⚑具两道明显的白色翼斑;;⚑繁殖期雄鸟具独特的深红棕色头顶和两胁，以及棕褐色的颈背;;⚑雌鸟（右图）和非繁殖期雄鸟颜色较朴素，但大多数至少在两胁显示出一些栗色;;⚑幼鸟（上图）似白颊林莺和松莺，注意背部的条纹、轮廓分明的翼斑，以及更干净的黄绿色头部和颈部;;迁徙期间更喜针叶树，但可见于任何林地中;;鸣唱为非常高音的吱吱声，似快速版的黑白森莺;
蓝林莺,Cerulean Warbler,Setophaga cerulea,小型（11.5厘米）觅食于树冠层的天蓝色森莺;;⚑倾向于在树冠上保持高位，因此难以看到蓝色；从下方看，雄鸟具白色喉和腹，以及蓝色细颈环和两胁的黑色条纹;;雌鸟为柔和的绿松石色，具淡色眉纹，两胁具模糊的条纹;;⚑幼鸟（右图）下体呈黄色;;⚑所有的羽色都有明显的白色翼斑;;春夏季最容易被其响亮的嗡嗡声吸引，似黑喉蓝林莺，但通常更丰富，具有更清晰的三段结构；音调比橙胸林莺低得多;
金颊黑背林莺,Golden-cheeked Warbler,Setophaga chrysoparia,小型（12-13厘米）森莺;;雄鸟有乌黑的冠、喉和背部；明亮的黄色脸，和细长的过眼纹；具两条白色翼斑；下体呈白色，两侧有黑色条纹;;⚑雌鸟和幼鸟较朴素，喉白色，背和冠部橄榄绿色；似黑喉绿林莺，但注意更明显的过眼纹，且缺少黄色的尾下覆羽;;仅在德克萨斯州中部的杜松-橡木混合林中繁殖;;鸣唱可变，包括几个不同音高的颤音和嗡嗡声;
黑枕威森莺,Hooded Warbler,Setophaga citrina,小型（13厘米）黄色森莺;;⚑雄鸟有独特的黑色头罩和黄色脸；雌鸟较暗，头顶黑色较少（有些完全没有）;;⚑习惯性地闪烁其白色的外尾羽;;⚑最似黑头威森莺，但尾上具白色;;通常栖息于林下，喜杜鹃花丛;;鸣唱似纹胸林莺：“weeta-weeta-weeTEEyoo”；鸣叫为尖锐的“chink”;
黄腰林莺,Yellow-rumped Warbler,Setophaga coronata,中型（12-14厘米）森莺;;⚑所有羽色都具明亮的黄色腰部和胁部;;⚑具两个不同的种群，多数Audubon个体（下图）喉部呈黄色，但羽色暗淡的未成年雌鸟（右图）喉部可能为近白色；Myrtle个体（上图）喉部为白色，且白色区域会延伸至脸颊下方;;Audubon种群主要在美国西部山区繁殖，分布范围延伸至加拿大不列颠哥伦比亚省；Myrtle种群的繁殖地从美国东部横跨加拿大，一直到阿拉斯加州;;繁殖于针叶林或混交林中，通常靠近空地或林缘；迁徙期和冬季，会出现在各类林地或开阔灌丛区域，包括海岸沙丘、田野、公园及居民区；常从显眼的栖木上突然飞出捕捉昆虫，冬季也会以浆果为食;;鸣叫频繁：Myrtle的叫声为平缓的“check”声，Audubon则为上扬的“chit”声;
圣岛黄腹灰林莺,St. Lucia Warbler,Setophaga delicata,体型小巧（12-13厘米）羽色鲜亮的森莺;;⚑蓝灰色上体、大面积黄色下体、白色翼斑以及醒目的脸部图案，这些特征的组合在其分布范围内独一无二;;在森林中上层区域活跃觅食;;鸣唱多变，但始终由一连串圆润的音符组成，且常以“which-you”音结尾，鸣叫为单个响亮且悦耳的“chip”声;,圣卢西亚特有
草原绿林莺,Prairie Warbler,Setophaga discolor,小型（11厘米）森莺;;全身黄色，上体为是较暗的橄榄色，两侧有黑色条纹，面部图案独特;;⚑背部具明显的红色条纹，但幼鸟有时难以看到;;⚑长尾经常上下抽动，但不似棕榈林莺始终如一;;栖息于灌木丛生的田野、再生林、沙丘和红树林等生境，觅食昆虫;
黄喉林莺,Yellow-throated Warbler,Setophaga dominica,细长的中型（13-14厘米）长嘴森莺;;具黄色的喉部、黑色脸颊，两胁具黑色条纹;;⚑雌鸟在两胁通常显示轻微的棕黄色;;觅食行为似䴓类，常沿着树枝倒挂爬行，栖息于大型无花果树和成熟森林中;;鸣唱甜美;
巴哈马林莺,Bahama Warbler,Setophaga flavescens,迷人的喜爱松林的森莺（13-14厘米）;;⚑极似黄喉林莺，但后者腹部和脸部的黄色区域较小，过眼纹更粗，脸颊后方有更明显的白色斑块，喙也更短;;⚑常像黑白森莺一样沿着树枝和树干攀爬，也会光顾花丛;;鸣唱是悦耳的“chutty，chutty，chutty，swee，swee，tsoo，tsoo”，鸣叫是单个高音“chip”或“tsit”，与黄喉林莺类似;,巴哈马特有
橙胸林莺,Blackburnian Warbler,Setophaga fusca,小型（11-12厘米）采叶莺;;⚑以橙色的喉部而闻名，即使在雨雾中也能看清;;⚑脸颊上的三角形黑斑和翼上的白斑很有特色;;⚑雌鸟和幼鸟似雄鸟的褪色版，注意黄色的喉部和脸颊上的三角形黑斑;;喜针叶林或混交林，但在迁徙期间可以在任何树木繁茂的栖息地找到；以昆虫为食，通常停歇在树梢上;
黄喉纹胁林莺,Grace's Warbler,Setophaga graciae,小型（12厘米）灰色林莺;;喉和眉纹呈鲜黄色;;⚑所有羽色形态都极为相似；幼鸟颜色稍暗淡且偏褐色;;⚑似黄腰林莺的Audubon个体，但后者胁部和腰部为黄色，没有黄色眉纹，且黄色仅局限于喉部，未及胸部;;分布于从美国西南部到尼加拉瓜的松林，通常活动于树冠高处;;留意其短促悦耳的颤音，常分为两部分;
黑纹背林莺,Kirtland's Warbler,Setophaga kirtlandii,小型（11-13厘米）森莺;;上体蓝灰色，下体柠檬黄色，具白色的细翼斑，侧身有黑色斑点;;⚑具不完整的白色眼圈;;⚑最似纹胸林莺的雌鸟和幼鸟，但体型较大，背部呈灰色而非绿色，会不断地上下摆尾;;⚑略似加拿大威森莺，但后者的胸部有醒目的黑色条纹并具清晰的黄色眼圈和眼先;;仅在密歇根州北部和威斯康星州的杰克松林中繁殖;
纹胸林莺,Magnolia Warbler,Setophaga magnolia,小型（11-13厘米）森莺;;⚑繁殖期雄鸟引人注目：具白色翼斑、特殊的头部图案和粗黑色条纹的下体;;⚑雌鸟和幼鸟不太明显，可能会被误认为加拿大威森莺，但注意灰色的头部、黄色的下体、白色的翼斑和两胁的黑色条纹;;⚑注意特殊的尾下图纹：基部白，尖端为黑色;;通常见于茂密的林下；迁徙季可见于任何树木繁茂的地区或林缘;
黑喉灰林莺,Black-throated Grey Warbler,Setophaga nigrescens,灰色的小型（11-13厘米）森莺;;⚑眼先具一小黄点;;注意黑白相间的头部，灰色的背部，白色的翼斑和带有深色条纹的白色下体;;在针叶林中繁殖，以昆虫为食；迁徙季可见于各种林区;,北美特有
黄脸林莺,Hermit Warbler,Setophaga occidentalis,中型（14厘米）森莺;;⚑雄鸟与众不同：头部几乎全黄，但在颏、喉和颈处有黑色；下体大部分为白色；上体灰色，具白色翼斑;;雌鸟似雄鸟，但颈背和喉上的黑色被橄榄绿色替代;;⚑与范围重叠的黄眉林莺广泛杂交;;以昆虫为食，通常栖息在树梢高处;
棕榈林莺,Palm Warbler,Setophaga palmarum,中型（12.5-14.5厘米）棕黄色森莺;;⚑繁殖羽（下图）头顶红褐色;;⚑非繁殖羽（上图）注意淡色的眉纹，具条纹的下体和黄色的尾下覆羽;;⚑与大多数其他莺不同，通常在地面上觅食，以不断摆尾而闻名;;繁殖于沼泽和北方森林的空地，迁徙季可见于各种开放的灌丛生境;
栗胁林莺,Chestnut-sided Warbler,Setophaga pensylvanica,小型（13厘米）森莺;;⚑繁殖羽（下图）头顶黄色，脸上具黑色斑，背部具黄黑色条纹，两胁红褐色;;⚑非繁殖羽（上图）上体为石灰绿色，下体灰色，带有醒目的白色眼圈;;⚑注意白色的眼圈和两道明显的翼斑;;栖息于灌丛、次生林和林缘;
黄林莺,Mangrove Warbler,Setophaga petechia,小型（12-13厘米）森莺;;⚑雄鸟具独特的栗色头部，部分亚种（上图）只有头顶为栗色;;⚑通常整体为黄色，但部分幼鸟几乎完全灰色，可能会与黄喉虫森莺混淆;;栖息于从墨西哥到厄瓜多尔的红树林及邻近灌丛;
尖头林莺,Arrowhead Warbler,Setophaga pharetra,中型（12.5-13厘米）且活跃的森莺;;⚑常给人一种全身布满浓重条纹的印象，略似白颊林莺，但后者秋季个体下体或多或少带有黄色，春季雄鸟有醒目的白色脸颊;;⚑似黑白森莺，但后者头顶有醒目的黑白条纹，而非前者那样清晰的纵纹，且行为不同，通常见其沿着树干或树枝攀爬;;多见于潮湿林地高处，频繁地摆尾;;鸣叫是一种略带尖细的清脆“chip”声，鸣唱相对轻柔且多变，由“tsi”音组成；通常先有两三个起始音，接着是一两个较低音调的音，然后是几个原音调的音，快速连续发出;,牙买加特有
松莺,Pine Warbler,Setophaga pinus,中型（13-14厘米）相当健壮的长尾森莺;;喙明显粗壮;;⚑羽色多变，从喉部大面积黄色的鲜亮成年雄鸟，到极为暗淡的灰棕色未成年雌鸟;;⚑始终留意其两道白色翼斑、胸部两侧的模糊条纹、粗壮的喙，以及长而窄且有浅凹口的尾;;⚑如名字所示，几乎总是出现在松树上;;春夏季发出响亮的颤音;,北美特有
绿背森莺,Tropical Parula,Setophaga pitiayumi,小型（10.8-11.4厘米）短尾森莺;;⚑具明亮而醒目的图案：上体蓝灰色，背绿色，具两条明显的白色翼斑，中美洲的种群（上图）翼斑较不明显，及黄橙色的喉和胸;;喙锋利，上喙黑色，下喙黄色;;⚑极似北森莺，但缺少白色的眼弧，胸前无深色横纹；杂交种和部分幼鸟可能极难分辨;;见于中美洲和南美洲的森林；在美国，仅见于德克萨斯州南部的苔藓森林;
绿顶林莺,Olive-capped Warbler,Setophaga pityophila,松树林中活泼的小型（12.5-13厘米）森莺;;⚑具与众不同的橄榄色额部;;⚑略似巴哈马林莺和黄喉林莺，但有黄橄榄色的额，且缺少后两者的白色眉纹;;通常在相当高的树上;,古巴和巴哈马特有
铅色林莺,Plumbeous Warbler,Setophaga plumbea,引人注目的中型（12-14厘米）森莺;;⚑很容易通过其整体的灰色羽（幼鸟（上图）上体略带绿色，下体呈黄色）以及与之形成鲜明对比的白色眉纹和翼斑来识别;;⚑所有可能造成混淆的物种均为来自北美的候鸟，其上体和（或）下体有条纹，而本种则无;;常出没于山地森林，但有时也会进入干燥灌丛和红树林；通常在林下植被觅食，尾常向上翘起;;鸣唱由十几声悠然的甜美哨音组成，其中前三个音的音高相同；有时只发出前三个音，鸣叫是一种干涩的咯咯声;,小安的列斯群岛特有
橙尾鸲莺,American Redstart,Setophaga ruticilla,小型（11-13厘米）森莺;;雄鸟整体为有光泽的黑色，翅、尾和身侧有明亮的橙色;;⚑雌鸟和亚成雄鸟呈暗灰色和橄榄色，带有黄色斑而非橙色;;⚑在觅食时习惯性地弹尾和扇尾;;在成熟的落叶林中繁殖，通常靠近水源;
白颊林莺,Blackpoll Warbler,Setophaga striata,中型（14厘米）森莺;;⚑繁殖期雄鸟具纯黑的顶冠和白色的脸颊；繁殖期雌鸟（右图）是雄鸟的褪色版;;⚑秋季幼鸟（上图）则完全不同：柠檬黄的头和胸带有模糊条纹，且具白色的翼斑和尾下覆羽;;⚑独特的橙色脚有助于将其与类似的栗胸林莺幼鸟和松莺区分;;繁殖于针叶林中，尤其是在高海拔地区的云杉林中；在迁徙期间可见于任何森林栖息地；以其在大西洋上空的特殊秋季迁徙而闻名；可以从美国东海岸直飞南美;
巴岛黄腹灰林莺,Barbuda Warbler,Setophaga subita,羽色鲜亮的森莺（12-13.5厘米）;;⚑蓝灰色上体、大面积黄色下体、白色翼斑以及独特的脸部图案，这些特征的组合在其分布范围内独一无二;;栖息于水域附近的灌木丛和矮树丛中;;鸣唱多变，但最常见的是一连串分成三个部分的悦耳颤音，中间部分音调较高，鸣叫为单个响亮且悦耳的“chip”声;,巴布达岛特有
栗颊林莺,Cape May Warbler,Setophaga tigrina,喙尖的小型（13厘米）森莺;;⚑羽色可变，注意其通常只有一道翼斑;;雄鸟下体黄色，带有黑色条纹，脸颊上具橙色斑块，翅上具白斑;;雌鸟带灰色，下体有模糊的条纹，颈部两侧的颜色通常略淡，翼羽边缘呈绿色;;繁殖于美国北部和加拿大的北方森林，越冬于加勒比海和中美洲；即使在迁徙中，也表现出对云杉树的强烈偏好;
黄眉林莺,Townsend's Warbler,Setophaga townsendi,小型（12厘米）色彩鲜艳的森莺;;脸颊为对比鲜明的黑黄色;;背部橄榄色，具明显的白色翼斑和黄色的胸部;;⚑颜色强度随年龄和性别而变化；成年雄鸟最亮，喉呈黑色，而幼鸟（右图）则较淡，喉呈淡黄色;;⚑似黑喉绿林莺，但脸颊较黑，胸部呈黄色;;通常呆在树冠层；有时与其他莺和小型鸣禽结群;
黑喉绿林莺,Black-throated Green Warbler,Setophaga virens,小型（11-12厘米）森莺;;繁殖期雄鸟有醒目的黑色颏、喉和上胸，具两条白色翼斑;;⚑所有羽色形态下，留意其白色胁部的深色纵纹以及臀部边上的黄色色泽;;⚑似黄眉林莺，但脸部图案（尤其是冠和脸颊较浅）对比度较低，胸部黄色较少;;繁殖于混合针叶林中，迁徙季可见于任何有高大树木的森林生境;
绿林莺,Vitelline Warbler,Setophaga vitellina,中小型（13厘米）羽色鲜亮的森莺;;栖息于干燥林地和灌丛，有时会光顾城郊的花园和公园;;⚑极似草原绿林莺，但后者眉纹较短，很少明显延伸至眼后，许多个体胁部有黑色条纹，而前者胁部有时仅有暗淡的条纹；此外，后者臀部通常为白色，而前者是典型的黄色臀部;;鸣唱通常为嗡嗡声，以三个简短的起始音开头，接着是一个较长的上扬音，然后是一个较长的下降音：dzz-dzz-dzz-zzzzee-zzzzuu;,开曼群岛特有
