Struthio molybdophanes	Somali Ostrich
Colaptes rivolii	Crimson-mantled Woodpecker
Colaptes atricollis	Black-necked Woodpecker
Colaptes punctigula	Spot-breasted Woodpecker
Colaptes melanochloros	Green-barred Woodpecker
Colaptes auratus	Northern Flicker
Colaptes mexicanoides	Guatemalan Flicker
Colaptes chrysoides	Gilded Flicker
Colaptes oceanicus	Bermuda Flicker
Colaptes fernandinae	Fernandina's Flicker
Colaptes pitius	Chilean Flicker
Colaptes rupicola	Andean Flicker
Colaptes campestris	Campo Flicker
Campephilus pollens	Powerful Woodpecker
Campephilus haematogaster	Crimson-bellied Woodpecker
Campephilus splendens	Splendid Woodpecker
Campephilus rubricollis	Red-necked Woodpecker
Campephilus robustus	Robust Woodpecker
Campephilus melanoleucos	Crimson-crested Woodpecker
Campephilus guatemalensis	Pale-billed Woodpecker
Campephilus gayaquilensis	Guayaquil Woodpecker
Campephilus leucopogon	Cream-backed Woodpecker
Campephilus magellanicus	Magellanic Woodpecker
Campephilus principalis	Ivory-billed Woodpecker
Campephilus imperialis	Imperial Woodpecker
Blythipicus rubiginosus	Maroon Woodpecker
Blythipicus pyrrhotis	Bay Woodpecker
Chrysocolaptes validus	Orange-backed Woodpecker
Chrysocolaptes guttacristatus	Greater Flameback
Chrysocolaptes socialis	Malabar Flameback
Chrysocolaptes strictus	Javan Flameback
Chrysocolaptes haematribon	Luzon Flameback
Chrysocolaptes xanthocephalus	Yellow-faced Flameback
Chrysocolaptes lucidus	Buff-spotted Flameback
Chrysocolaptes erythrocephalus	Red-headed Flameback
Chrysocolaptes stricklandi	Crimson-backed Flameback
Chrysocolaptes festivus	White-naped Woodpecker
Sphyrapicus thyroideus	Williamson's Sapsucker
Sphyrapicus varius	Yellow-bellied Sapsucker
Sphyrapicus nuchalis	Red-naped Sapsucker
Sphyrapicus ruber	Red-breasted Sapsucker
Xiphidiopicus percussus	Cuban Green Woodpecker
Melanerpes candidus	White Woodpecker
Melanerpes lewis	Lewis's Woodpecker
Melanerpes herminieri	Guadeloupe Woodpecker
Melanerpes portoricensis	Puerto Rican Woodpecker
Melanerpes erythrocephalus	Red-headed Woodpecker
Melanerpes formicivorus	Acorn Woodpecker
Melanerpes chrysauchen	Golden-naped Woodpecker
Melanerpes cruentatus	Yellow-tufted Woodpecker
Melanerpes flavifrons	Yellow-fronted Woodpecker
Melanerpes pulcher	Beautiful Woodpecker
Melanerpes pucherani	Black-cheeked Woodpecker
Melanerpes cactorum	White-fronted Woodpecker
Melanerpes striatus	Hispaniolan Woodpecker
Melanerpes radiolatus	Jamaican Woodpecker
Melanerpes chrysogenys	Golden-cheeked Woodpecker
Melanerpes hypopolius	Grey-breasted Woodpecker
Melanerpes pygmaeus	Yucatan Woodpecker
Melanerpes rubricapillus	Red-crowned Woodpecker
Melanerpes uropygialis	Gila Woodpecker
Melanerpes hoffmannii	Hoffmann's Woodpecker
Melanerpes aurifrons	Golden-fronted Woodpecker
Melanerpes carolinus	Red-bellied Woodpecker
Melanerpes superciliaris	West Indian Woodpecker
Picoides arcticus	Black-backed Woodpecker
Picoides dorsalis	American Three-toed Woodpecker
Picoides tridactylus	Eurasian Three-toed Woodpecker
Yungipicus temminckii	Sulawesi Pygmy Woodpecker
Yungipicus maculatus	Philippine Pygmy Woodpecker
Yungipicus ramsayi	Sulu Pygmy Woodpecker
Yungipicus nanus	Brown-capped Pygmy Woodpecker
Yungipicus moluccensis	Sunda Pygmy Woodpecker
Yungipicus canicapillus	Grey-capped Pygmy Woodpecker
Yungipicus kizuki	Japanese Pygmy Woodpecker
Leiopicus mahrattensis	Yellow-crowned Woodpecker
Dendrocoptes medius	Middle Spotted Woodpecker
Dendrocoptes auriceps	Brown-fronted Woodpecker
Dendrocoptes dorae	Arabian Woodpecker
Chloropicus pyrrhogaster	Fire-bellied Woodpecker
Chloropicus xantholophus	Yellow-crested Woodpecker
Chloropicus namaquus	Bearded Woodpecker
Dendropicos stierlingi	Stierling's Woodpecker
Dendropicos obsoletus	Brown-backed Woodpecker
Dendropicos goertae	African Grey Woodpecker
Dendropicos spodocephalus	Eastern Grey Woodpecker
Dendropicos griseocephalus	Olive Woodpecker
Dendropicos abyssinicus	Abyssinian Woodpecker
Dendropicos lugubris	Melancholy Woodpecker
Dendropicos gabonensis	Gabon Woodpecker
Dendropicos elliotii	Elliot's Woodpecker
Dendropicos elachus	Little Grey Woodpecker
Dendropicos poecilolaemus	Speckle-breasted Woodpecker
Dendropicos fuscescens	Cardinal Woodpecker
Dendrocopos hyperythrus	Rufous-bellied Woodpecker
Dendrocopos atratus	Stripe-breasted Woodpecker
Dendrocopos macei	Fulvous-breasted Woodpecker
Dendrocopos analis	Freckle-breasted Woodpecker
Dendrocopos noguchii	Okinawa Woodpecker
Dendrocopos leucotos	White-backed Woodpecker
Dendrocopos darjellensis	Darjeeling Woodpecker
Dendrocopos leucopterus	White-winged Woodpecker
Dendrocopos major	Great Spotted Woodpecker
Dendrocopos himalayensis	Himalayan Woodpecker
Dendrocopos assimilis	Sind Woodpecker
Dendrocopos syriacus	Syrian Woodpecker
Dryobates minor	Lesser Spotted Woodpecker
Dryobates cathpharius	Crimson-naped Woodpecker
Dryobates pernyii	Necklaced Woodpecker
Dryobates pubescens	Downy Woodpecker
Dryobates nuttallii	Nuttall's Woodpecker
Dryobates scalaris	Ladder-backed Woodpecker
Leuconotopicus borealis	Red-cockaded Woodpecker
Leuconotopicus villosus	Hairy Woodpecker
Leuconotopicus albolarvatus	White-headed Woodpecker
Leuconotopicus fumigatus	Smoky-brown Woodpecker
Leuconotopicus stricklandi	Strickland's Woodpecker
Leuconotopicus arizonae	Arizona Woodpecker
Veniliornis kirkii	Red-rumped Woodpecker
Veniliornis cassini	Golden-collared Woodpecker
Veniliornis spilogaster	White-spotted Woodpecker
Veniliornis mixtus	Checkered Woodpecker
Veniliornis lignarius	Striped Woodpecker
Veniliornis sanguineus	Blood-colored Woodpecker
Veniliornis passerinus	Little Woodpecker
Veniliornis frontalis	Dot-fronted Woodpecker
Veniliornis callonotus	Scarlet-backed Woodpecker
Veniliornis dignus	Yellow-vented Woodpecker
Veniliornis nigriceps	Bar-bellied Woodpecker
Veniliornis affinis	Red-stained Woodpecker
Veniliornis chocoensis	Choco Woodpecker
Veniliornis maculifrons	Yellow-eared Woodpecker
Cariama cristata	Red-legged Seriema
Chunga burmeisteri	Black-legged Seriema
Herpetotheres cachinnans	Laughing Falcon
Micrastur buckleyi	Buckley's Forest Falcon
Micrastur semitorquatus	Collared Forest Falcon
Micrastur mirandollei	Slaty-backed Forest Falcon
Micrastur ruficollis	Barred Forest Falcon
Micrastur mintoni	Cryptic Forest Falcon
Micrastur plumbeus	Plumbeous Forest Falcon
Micrastur gilvicollis	Lined Forest Falcon
Spiziapteryx circumcincta	Spot-winged Falconet
Caracara lutosa	Guadalupe Caracara
Caracara plancus	Crested Caracara
Ibycter americanus	Red-throated Caracara
Daptrius chimachima	Yellow-headed Caracara
Daptrius ater	Black Caracara
Daptrius chimango	Chimango Caracara
Daptrius carunculatus	Carunculated Caracara
Daptrius megalopterus	Mountain Caracara
Daptrius albogularis	White-throated Caracara
Daptrius australis	Striated Caracara
Polihierax semitorquatus	Pygmy Falcon
Microhierax erythrogenys	Philippine Falconet
Microhierax melanoleucos	Pied Falconet
Microhierax caerulescens	Collared Falconet
Microhierax fringillarius	Black-thighed Falconet
Microhierax latifrons	White-fronted Falconet
Neohierax insignis	White-rumped Falcon
Falco zoniventris	Banded Kestrel
Falco naumanni	Lesser Kestrel
Falco alopex	Fox Kestrel
Falco rupicoloides	Greater Kestrel
Falco punctatus	Mauritius Kestrel
Falco duboisi	Reunion Kestrel
Falco araeus	Seychelles Kestrel
Falco newtoni	Malagasy Kestrel
Falco rupicolus	Rock Kestrel
Falco cenchroides	Nankeen Kestrel
Falco moluccensis	Spotted Kestrel
Falco tinnunculus	Common Kestrel
Falco sparverius	American Kestrel
Falco vespertinus	Red-footed Falcon
Falco amurensis	Amur Falcon
Falco columbarius	Merlin
Falco ardosiaceus	Grey Kestrel
Falco dickinsoni	Dickinson's Kestrel
Falco berigora	Brown Falcon
Falco deiroleucus	Orange-breasted Falcon
Falco rufigularis	Bat Falcon
Falco longipennis	Australian Hobby
Falco severus	Oriental Hobby
Falco eleonorae	Eleonora's Falcon
Falco concolor	Sooty Falcon
Falco cuvierii	African Hobby
Falco subbuteo	Eurasian Hobby
Falco novaeseelandiae	New Zealand Falcon
Falco femoralis	Aplomado Falcon
Falco chicquera	Red-necked Falcon
Falco mexicanus	Prairie Falcon
Falco hypoleucos	Grey Falcon
Falco fasciinucha	Taita Falcon
Falco peregrinus	Peregrine Falcon
Falco biarmicus	Lanner Falcon
Falco jugger	Laggar Falcon
Falco subniger	Black Falcon
Falco rusticolus	Gyrfalcon
Falco cherrug	Saker Falcon
Strigops habroptilus	Kakapo
Nestor notabilis	Kea
Nestor productus	Norfolk Kaka
Nestor meridionalis	New Zealand Kaka
Calyptorhynchus lathami	Glossy Black Cockatoo
Calyptorhynchus banksii	Red-tailed Black Cockatoo
Zanda funerea	Yellow-tailed Black Cockatoo
Zanda latirostris	Carnaby's Black Cockatoo
Zanda baudinii	Baudin's Black Cockatoo
Nymphicus hollandicus	Cockatiel
Probosciger aterrimus	Palm Cockatoo
Callocephalon fimbriatum	Gang-gang Cockatoo
Eolophus roseicapilla	Galah
Cacatua leadbeateri	Pink Cockatoo
Cacatua haematuropygia	Red-vented Cockatoo
Cacatua goffiniana	Tanimbar Corella
Cacatua ducorpsii	Solomons Corella
Cacatua pastinator	Western Corella
Cacatua sanguinea	Little Corella
Cacatua tenuirostris	Long-billed Corella
Cacatua alba	White Cockatoo
Cacatua ophthalmica	Blue-eyed Cockatoo
Cacatua moluccensis	Salmon-crested Cockatoo
Cacatua sulphurea	Yellow-crested Cockatoo
Cacatua citrinocristata	Citron-crested Cockatoo
Cacatua galerita	Sulphur-crested Cockatoo
Psittacus timneh	Timneh Parrot
Psittacus erithacus	Grey Parrot
Poicephalus fuscicollis	Brown-necked Parrot
Poicephalus robustus	Cape Parrot
Poicephalus gulielmi	Red-fronted Parrot
Poicephalus meyeri	Meyer's Parrot
Poicephalus rueppellii	Rüppell's Parrot
Poicephalus cryptoxanthus	Brown-headed Parrot
Poicephalus crassus	Niam-niam Parrot
Poicephalus rufiventris	Red-bellied Parrot
Poicephalus senegalus	Senegal Parrot
Poicephalus flavifrons	Yellow-fronted Parrot
Psilopsiagon aymara	Grey-hooded Parakeet
Psilopsiagon aurifrons	Mountain Parakeet
Nannopsittaca panychlora	Tepui Parrotlet
Nannopsittaca dachilleae	Manu Parrotlet
Bolborhynchus lineola	Barred Parakeet
Bolborhynchus ferrugineifrons	Rufous-fronted Parakeet
Bolborhynchus orbygnesius	Andean Parakeet
Touit batavicus	Lilac-tailed Parrotlet
Touit huetii	Scarlet-shouldered Parrotlet
Touit costaricensis	Red-fronted Parrotlet
Touit dilectissimus	Blue-fronted Parrotlet
Touit purpuratus	Sapphire-rumped Parrotlet
Touit melanonotus	Brown-backed Parrotlet
Touit surdus	Golden-tailed Parrotlet
Touit stictopterus	Spot-winged Parrotlet
Forpus modestus	Dusky-billed Parrotlet
Forpus cyanopygius	Mexican Parrotlet
Forpus spengeli	Turquoise-winged Parrotlet
Forpus crassirostris	Riparian Parrotlet
Forpus xanthopterygius	Cobalt-rumped Parrotlet
Forpus passerinus	Green-rumped Parrotlet
Forpus conspicillatus	Spectacled Parrotlet
Forpus coelestis	Pacific Parrotlet
Forpus xanthops	Yellow-faced Parrotlet
Myiopsitta luchsi	Cliff Parakeet
Myiopsitta monachus	Monk Parakeet
Brotogeris sanctithomae	Tui Parakeet
Brotogeris tirica	Plain Parakeet
Brotogeris versicolurus	White-winged Parakeet
Brotogeris chiriri	Yellow-chevroned Parakeet
Brotogeris pyrrhoptera	Grey-cheeked Parakeet
Brotogeris jugularis	Orange-chinned Parakeet
Brotogeris cyanoptera	Cobalt-winged Parakeet
Brotogeris chrysoptera	Golden-winged Parakeet
Pionopsitta pileata	Pileated Parrot
Triclaria malachitacea	Blue-bellied Parrot
Hapalopsittaca amazonina	Rusty-faced Parrot
Hapalopsittaca fuertesi	Fuertes's Parrot
Hapalopsittaca pyrrhops	Red-faced Parrot
Hapalopsittaca melanotis	Black-winged Parrot
Pyrilia haematotis	Brown-hooded Parrot
Pyrilia pulchra	Rose-faced Parrot
Pyrilia pyrilia	Saffron-headed Parrot
Pyrilia barrabandi	Orange-cheeked Parrot
Pyrilia caica	Caica Parrot
Pyrilia aurantiocephala	Bald Parrot
Pyrilia vulturina	Vulturine Parrot
Graydidascalus brachyurus	Short-tailed Parrot
Alipiopsitta xanthops	Yellow-faced Parrot
Pionus fuscus	Dusky Parrot
Pionus sordidus	Red-billed Parrot
Pionus maximiliani	Scaly-headed Parrot
Pionus tumultuosus	Speckle-faced Parrot
Pionus menstruus	Blue-headed Parrot
Pionus senilis	White-crowned Parrot
Pionus chalcopterus	Bronze-winged Parrot
Amazona festiva	Festive Amazon
Amazona vinacea	Vinaceous-breasted Amazon
Amazona tucumana	Tucuman Amazon
Amazona pretrei	Red-spectacled Amazon
Amazona viridigenalis	Red-crowned Amazon
Amazona finschi	Lilac-crowned Amazon
Amazona autumnalis	Red-lored Amazon
Amazona lilacina	Lilacine Amazon
Amazona diadema	Diademed Amazon
Amazona dufresniana	Blue-cheeked Amazon
Amazona rhodocorytha	Red-browed Amazon
Amazona arausiaca	Red-necked Amazon
Amazona versicolor	St. Lucia Amazon
Amazona auropalliata	Yellow-naped Amazon
Amazona oratrix	Yellow-headed Amazon
Amazona ochrocephala	Yellow-crowned Amazon
Amazona barbadensis	Yellow-shouldered Amazon
Amazona aestiva	Turquoise-fronted Amazon
Amazona agilis	Black-billed Amazon
Amazona albifrons	White-fronted Amazon
Amazona xantholora	Yucatan Amazon
Amazona collaria	Yellow-billed Amazon
Amazona leucocephala	Cuban Amazon
Amazona ventralis	Hispaniolan Amazon
Amazona vittata	Puerto Rican Amazon
Amazona farinosa	Mealy Amazon
Amazona kawalli	Kawall's Amazon
Amazona imperialis	Imperial Amazon
Amazona brasiliensis	Red-tailed Amazon
Amazona guildingii	St. Vincent Amazon
Amazona amazonica	Orange-winged Amazon
Amazona mercenarius	Scaly-naped Amazon
Deroptyus accipitrinus	Red-fan Parrot
Pionites melanocephalus	Black-headed Parrot
Pionites leucogaster	White-bellied Parrot
Rhynchopsitta pachyrhyncha	Thick-billed Parrot
Rhynchopsitta terrisi	Maroon-fronted Parrot
Pyrrhura cruentata	Ochre-marked Parakeet
Pyrrhura devillei	Blaze-winged Parakeet
Pyrrhura frontalis	Maroon-bellied Parakeet
Pyrrhura lepida	Pearly Parakeet
Pyrrhura perlata	Crimson-bellied Parakeet
Pyrrhura molinae	Green-cheeked Parakeet
Pyrrhura pfrimeri	Pfrimer's Parakeet
Pyrrhura griseipectus	Grey-breasted Parakeet
Pyrrhura leucotis	White-eared Parakeet
Pyrrhura picta	Painted Parakeet
Pyrrhura subandina	Subandean Parakeet
Pyrrhura caeruleiceps	Perija Parakeet
Pyrrhura emma	Venezuelan Parakeet
Pyrrhura amazonum	Santarem Parakeet
Pyrrhura lucianii	Bonaparte's Parakeet
Pyrrhura roseifrons	Rose-fronted Parakeet
Pyrrhura viridicata	Santa Marta Parakeet
Pyrrhura egregia	Fiery-shouldered Parakeet
Pyrrhura melanura	Maroon-tailed Parakeet
Pyrrhura orcesi	El Oro Parakeet
Pyrrhura rupicola	Black-capped Parakeet
Pyrrhura albipectus	White-breasted Parakeet
Pyrrhura calliptera	Flame-winged Parakeet
Pyrrhura hoematotis	Blood-eared Parakeet
Pyrrhura rhodocephala	Rose-crowned Parakeet
Pyrrhura hoffmanni	Sulphur-winged Parakeet
Enicognathus leptorhynchus	Slender-billed Parakeet
Enicognathus ferrugineus	Austral Parakeet
Cyanoliseus patagonus	Burrowing Parrot
Anodorhynchus hyacinthinus	Hyacinth Macaw
Anodorhynchus glaucus	Glaucous Macaw
Anodorhynchus leari	Lear's Macaw
Conuropsis carolinensis	Carolina Parakeet
Aratinga weddellii	Dusky-headed Parakeet
Aratinga nenday	Nanday Parakeet
Aratinga solstitialis	Sun Parakeet
Aratinga maculata	Sulphur-breasted Parakeet
Aratinga jandaya	Jandaya Parakeet
Aratinga auricapillus	Golden-capped Parakeet
Cyanopsitta spixii	Spix's Macaw
Orthopsittaca manilatus	Red-bellied Macaw
Primolius maracana	Blue-winged Macaw
Primolius couloni	Blue-headed Macaw
Primolius auricollis	Golden-collared Macaw
Ara ararauna	Blue-and-yellow Macaw
Ara glaucogularis	Blue-throated Macaw
Ara severus	Chestnut-fronted Macaw
Ara tricolor	Cuban Macaw
Ara rubrogenys	Red-fronted Macaw
Ara militaris	Military Macaw
Ara ambiguus	Great Green Macaw
Ara macao	Scarlet Macaw
Ara chloropterus	Red-and-green Macaw
Eupsittula nana	Olive-throated Parakeet
Eupsittula canicularis	Orange-fronted Parakeet
Eupsittula aurea	Peach-fronted Parakeet
Eupsittula pertinax	Brown-throated Parakeet
Eupsittula cactorum	Caatinga Parakeet
Ognorhynchus icterotis	Yellow-eared Parrot
Leptosittaca branickii	Golden-plumed Parakeet
Thectocercus acuticaudatus	Blue-crowned Parakeet
Guaruba guarouba	Golden Parakeet
Diopsittaca nobilis	Red-shouldered Macaw
Psittacara leucophthalmus	White-eyed Parakeet
Psittacara wagleri	Scarlet-fronted Parakeet
Psittacara frontatus	Cordilleran Parakeet
Psittacara mitratus	Mitred Parakeet
Psittacara euops	Cuban Parakeet
Psittacara chloropterus	Hispaniolan Parakeet
Psittacara maugei	Puerto Rican Parakeet
Psittacara erythrogenys	Red-masked Parakeet
Psittacara holochlorus	Green Parakeet
Psittacara brevipes	Socorro Parakeet
Psittacara strenuus	Pacific Parakeet
Psittacara finschi	Finsch's Parakeet
Psittrichas fulgidus	Pesquet's Parrot
Coracopsis vasa	Greater Vasa Parrot
Coracopsis nigra	Lesser Vasa Parrot
Coracopsis sibilans	Comoro Black Parrot
Coracopsis barklyi	Seychelles Black Parrot
Micropsitta keiensis	Yellow-capped Pygmy Parrot
Micropsitta geelvinkiana	Geelvink Pygmy Parrot
Micropsitta pusio	Buff-faced Pygmy Parrot
Micropsitta bruijnii	Red-breasted Pygmy Parrot
Micropsitta meeki	Meek's Pygmy Parrot
Micropsitta finschii	Finsch's Pygmy Parrot
Alisterus scapularis	Australian King Parrot
Alisterus amboinensis	Moluccan King Parrot
Alisterus chloropterus	Papuan King Parrot
Aprosmictus erythropterus	Red-winged Parrot
Aprosmictus jonquillaceus	Jonquil Parrot
Polytelis swainsonii	Superb Parrot
Polytelis anthopeplus	Regent Parrot
Polytelis alexandrae	Princess Parrot
Prioniturus mada	Buru Racket-tail
Prioniturus platurus	Golden-mantled Racket-tail
Prioniturus waterstradti	Mindanao Racket-tail
Prioniturus montanus	Montane Racket-tail
Prioniturus platenae	Blue-headed Racket-tail
Prioniturus mindorensis	Mindoro Racket-tail
Prioniturus verticalis	Blue-winged Racket-tail
Prioniturus flavicans	Yellow-breasted Racket-tail
Prioniturus luconensis	Green Racket-tail
Prioniturus discurus	Blue-crowned Racket-tail
Eclectus roratus	Moluccan Eclectus
Eclectus cornelia	Sumba Eclectus
Eclectus riedeli	Tanimbar Eclectus
Eclectus polychloros	Papuan Eclectus
Eclectus infectus	Oceanic Eclectus
Geoffroyus geoffroyi	Red-cheeked Parrot
Geoffroyus simplex	Blue-collared Parrot
Geoffroyus heteroclitus	Song Parrot
Psittinus abbotti	Simeulue Parrot
Psittinus cyanurus	Blue-rumped Parrot
Mascarinus mascarinus	Mascarene Parrot
Lophopsittacus mauritianus	Broad-billed Parrot
Necropsittacus rodricanus	Rodrigues Parrot
Tanygnathus gramineus	Black-lored Parrot
Tanygnathus megalorynchos	Great-billed Parrot
Tanygnathus lucionensis	Blue-naped Parrot
Tanygnathus everetti	Blue-backed Parrot
Tanygnathus sumatranus	Azure-rumped Parrot
Psittacula eupatria	Alexandrine Parakeet
Psittacula wardi	Seychelles Parakeet
Psittacula krameri	Rose-ringed Parakeet
Psittacula eques	Echo Parakeet
Psittacula himalayana	Slaty-headed Parakeet
Psittacula finschii	Grey-headed Parakeet
Psittacula cyanocephala	Plum-headed Parakeet
Psittacula roseata	Blossom-headed Parakeet
Psittacula columboides	Blue-winged Parakeet
Psittacula calthrapae	Layard's Parakeet
Psittacula derbiana	Lord Derby's Parakeet
Psittacula alexandri	Red-breasted Parakeet
Psittacula caniceps	Nicobar Parakeet
Psittacula exsul	Newton's Parakeet
Psittacula longicauda	Long-tailed Parakeet
Psittacula bensoni	Mascarene Grey Parakeet
Psittacella picta	Painted Tiger Parrot
Psittacella brehmii	Brehm's Tiger Parrot
Psittacella modesta	Modest Tiger Parrot
Psittacella madaraszi	Madarasz's Tiger Parrot
Pezoporus occidentalis	Night Parrot
Pezoporus wallicus	Ground Parrot
Neopsephotus bourkii	Bourke's Parrot
Neophema chrysostoma	Blue-winged Parrot
Neophema elegans	Elegant Parrot
Neophema petrophila	Rock Parrot
Neophema chrysogaster	Orange-bellied Parrot
Neophema pulchella	Turquoise Parrot
Neophema splendida	Scarlet-chested Parrot
Lathamus discolor	Swift Parrot
Prosopeia splendens	Crimson Shining Parrot
Prosopeia tabuensis	Maroon Shining Parrot
Prosopeia personata	Masked Shining Parrot
Eunymphicus cornutus	Horned Parakeet
Eunymphicus uvaeensis	Ouvea Parakeet
Cyanoramphus ulietanus	Raiatea Parakeet
